date,max temp,precip,snowfall
2021-01-01,41,0.84,0.0
2021-01-02,43,0.03,0.0
2021-01-03,41,0.06,0.0
2021-01-04,35,0.03,0.2
2021-01-05,35,0.01,0.0
2021-01-06,36,0.01,0.0
2021-01-07,35,0.0,0.0
2021-01-08,31,0.0,0.0
2021-01-09,40,0.0,0.0
2021-01-10,40,0.0,0.0
2021-01-11,31,0.0,0.0
2021-01-12,31,0.0,0.0
2021-01-13,47,0.0,0.0
2021-01-14,46,0.01,0.0
2021-01-15,43,0.13,0.1
2021-01-16,34,0.01,0.0
2021-01-17,37,0.12,1.0
2021-01-18,33,0.02,0.2
2021-01-19,33,0.04,0.8
2021-01-20,30,0.09,1.5
2021-01-21,42,0.0,0.0
2021-01-22,35,0.0,0.0
2021-01-23,27,0.0,0.0
2021-01-24,30,0.0,0.0
2021-01-25,34,0.0,0.0
2021-01-26,37,0.13,0.0
2021-01-27,31,0.01,0.3
2021-01-28,25,0.0,0.3
2021-01-29,25,0.01,0.5
2021-01-30,32,0.0,0.0
2021-01-31,35,0.11,1.6
2021-02-01,31,0.17,1.5
2021-02-02,32,0.01,0.2
2021-02-03,29,0.0,0.0
2021-02-04,37,0.08,0.4
2021-02-05,36,0.02,0.0
2021-02-06,21,0.0,0.0
2021-02-07,18,0.01,0.4
2021-02-08,23,0.0,0.0
2021-02-09,23,0.05,1.6
2021-02-10,21,0.06,0.5
2021-02-11,23,0.0,0.0
2021-02-12,32,0.0,0.0
2021-02-13,26,0.0,0.0
2021-02-14,25,0.0,0.0
2021-02-15,25,0.35,3.2
2021-02-16,22,0.12,1.9
2021-02-17,21,0.0,0.0
2021-02-18,27,0.12,2.5
2021-02-19,27,0.0,0.0
2021-02-20,25,0.01,0.4
2021-02-21,35,0.0,0.0
2021-02-22,38,0.05,0.0
2021-02-23,43,0.0,0.0
2021-02-24,53,0.0,0.0
2021-02-25,39,0.0,0.0
2021-02-26,42,0.0,0.0
2021-02-27,47,0.13,0.0
2021-02-28,58,0.19,0.0
2021-03-01,55,0.0,0.0
2021-03-02,39,0.0,0.0
2021-03-03,54,0.0,0.0
2021-03-04,35,0.0,0.0
2021-03-05,35,0.0,0.0
2021-03-06,36,0.0,0.0
2021-03-07,36,0.0,0.0
2021-03-08,61,0.0,0.0
2021-03-09,62,0.0,0.0
2021-03-10,70,0.0,0.0
2021-03-11,71,0.0,0.0
2021-03-12,57,0.0,0.0
2021-03-13,45,0.0,0.0
2021-03-14,48,0.0,0.0
2021-03-15,41,0.0,0.0
2021-03-16,55,0.02,0.0
2021-03-17,61,0.0,0.0
2021-03-18,49,0.68,0.0
2021-03-19,37,0.0,0.0
2021-03-20,53,0.0,0.0
2021-03-21,65,0.0,0.0
2021-03-22,69,0.0,0.0
2021-03-23,69,0.0,0.0
2021-03-24,74,0.0,0.0
2021-03-25,71,0.09,0.0
2021-03-26,64,0.19,0.0
2021-03-27,67,0.0,0.0
