,,,,,,,,,,,,,,,,,,,,,,
,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
,1,Thursday Apr 7,boxscore,CLE,@,KCR,L,1,3,,0-1,5,1.0,Barlow,McKenzie,,2:49,D,28459,1.02,-,
,2,Saturday Apr 9,boxscore,CLE,@,KCR,L-wo,0,1,10,0-2,4,2.0,Snider,Clase,,2:49,D,17103,0.95,--,
,3,Sunday Apr 10,boxscore,CLE,@,KCR,W,17,3,,1-2,3,1.0,Quantrill,Bubic,,3:09,D,20165,0.92,+,
,4,Monday Apr 11,boxscore,CLE,@,KCR,W,10,7,,2-2,2,0.5,Allen,Brentz,,3:37,D,8971,0.98,++,
,5,Tuesday Apr 12,boxscore,CLE,@,CIN,W,10,5,,3-2,2,0.5,Stephan,Strickland,,3:30,D,43036,0.91,+++,
,6,Wednesday Apr 13,boxscore,CLE,@,CIN,W,7,3,,4-2,2,0.5,Morgan,Lodolo,,3:07,D,10976,0.94,++++,
,7,Friday Apr 15,boxscore,CLE,,SFG,L,1,4,,4-3,2,1.0,Rodón,Plesac,Doval,2:56,N,33469,1.01,-,
,8,Saturday Apr 16,boxscore,CLE,,SFG,L,2,4,,4-4,2,2.0,Leone,Sandlin,McGee,3:19,N,13187,0.98,--,
,9,Sunday Apr 17,boxscore,CLE,,SFG,L,1,8,,4-5,2,2.0,Wood,Civale,,2:57,D,9620,0.91,---,
,10,Wednesday Apr 20 (1),boxscore,CLE,,CHW,W,11,1,,5-5,1,Tied,Bieber,Keuchel,,2:41,D,,0.99,+,
,11,Wednesday Apr 20 (2),boxscore,CLE,,CHW,W,2,1,,6-5,1,Tied,Gose,Lambert,Clase,3:01,D,9196,1.05,++,
,12,Thursday Apr 21,boxscore,CLE,,CHW,W,6,3,,7-5,1,up 1.0,Plesac,Cease,Clase,3:07,D,8345,1.10,+++,
,13,Friday Apr 22,boxscore,CLE,@,NYY,L,1,4,,7-6,1,up 1.0,Taillon,Morgan,Chapman,2:58,N,41062,1.09,-,
,14,Saturday Apr 23,boxscore,CLE,@,NYY,L-wo,4,5,,7-7,1,up 0.5,Castro,Clase,,2:50,D,39180,1.05,--,
,15,Sunday Apr 24,boxscore,CLE,@,NYY,L,2,10,,7-8,2,0.5,Cole,Civale,,2:43,D,39050,1.02,---,
,16,Monday Apr 25,boxscore,CLE,@,LAA,L,0,3,,7-9,2,1.0,Lorenzen,Bieber,Iglesias,2:22,N,23099,1.00,----,
,17,Tuesday Apr 26,boxscore,CLE,@,LAA,L,1,4,,7-10,2,2.0,Sandoval,McKenzie,Iglesias,2:34,N,22551,0.94,-----,
,18,Wednesday Apr 27,boxscore,CLE,@,LAA,L,5,9,,7-11,3,3.0,Ohtani,Plesac,,3:12,N,28557,0.89,------,
,19,Thursday Apr 28,boxscore,CLE,@,LAA,L,1,4,,7-12,4,4.0,Detmers,Quantrill,Iglesias,2:35,D,18826,0.84,-------,
,20,Friday Apr 29,boxscore,CLE,@,OAK,W,9,8,,8-12,2,3.0,Stephan,Acevedo,Clase,3:21,N,12910,0.80,+,
,21,Saturday Apr 30,boxscore,CLE,@,OAK,W,3,1,,9-12,2,3.0,Sandlin,Jiménez,Clase,2:42,D,6707,0.90,++,
,22,Sunday May 1,boxscore,CLE,@,OAK,W,7,3,,10-12,2,3.0,McKenzie,Kaprielian,,3:13,D,14945,0.88,+++,
,23,Wednesday May 4 (1),boxscore,CLE,,SDP,L,4,5,,10-13,2,3.5,Crismatt,Plesac,Rogers,3:15,D,,0.86,-,
