START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/26/23,01:05 PM,03:05 PM,Rangers at Guardians,Goodyear Ballpark - Goodyear,"Local Radio: WTAM 1100",02/26/23,02/26/23,04:05 PM,06:05 PM,FALSE,TRUE,02/26/23,12:05 PM,02:05 PM,FREE,BUSY
02/28/23,01:05 PM,03:05 PM,Royals at Guardians,Goodyear Ballpark - Goodyear,"Local TV: Bally Sports Great Lakes ----- Local Radio: MLB.com",02/28/23,02/28/23,04:05 PM,06:05 PM,FALSE,TRUE,02/28/23,12:05 PM,02:05 PM,FREE,BUSY
03/02/23,01:05 PM,03:05 PM,Giants at Guardians,Goodyear Ballpark - Goodyear,"Local Radio: WTAM 1100",03/02/23,03/02/23,04:05 PM,06:05 PM,FALSE,TRUE,03/02/23,12:05 PM,02:05 PM,FREE,BUSY
03/03/23,01:05 PM,03:05 PM,Brewers at Guardians,Goodyear Ballpark - Goodyear,"",03/03/23,03/03/23,04:05 PM,06:05 PM,FALSE,TRUE,03/03/23,12:05 PM,02:05 PM,FREE,BUSY
03/05/23,01:05 PM,03:05 PM,D-backs at Guardians,Goodyear Ballpark - Goodyear,"",03/05/23,03/05/23,04:05 PM,06:05 PM,FALSE,TRUE,03/05/23,12:05 PM,02:05 PM,FREE,BUSY
03/08/23,01:05 PM,03:05 PM,Mexico at Guardians,Goodyear Ballpark - Goodyear,"Local Radio: REAL 106.1",03/08/23,03/08/23,04:05 PM,06:05 PM,FALSE,TRUE,03/08/23,12:05 PM,02:05 PM,FREE,BUSY
03/09/23,01:05 PM,03:05 PM,Padres at Guardians,Goodyear Ballpark - Goodyear,"Local Radio: WTAM 1100",03/09/23,03/09/23,04:05 PM,06:05 PM,FALSE,TRUE,03/09/23,12:05 PM,02:05 PM,FREE,BUSY
03/11/23,01:05 PM,03:05 PM,Athletics at Guardians,Goodyear Ballpark - Goodyear,"Local Radio: WTAM 1100",03/11/23,03/11/23,04:05 PM,06:05 PM,FALSE,TRUE,03/11/23,12:05 PM,02:05 PM,FREE,BUSY
03/14/23,01:05 PM,04:05 PM,Angels at Guardians,Goodyear Ballpark - Goodyear,"Local Radio: MLB.com",03/14/23,03/14/23,04:05 PM,07:05 PM,FALSE,TRUE,03/14/23,12:05 PM,03:05 PM,FREE,BUSY
03/16/23,01:05 PM,04:05 PM,White Sox at Guardians,Goodyear Ballpark - Goodyear,"Local Radio: REAL 106.1",03/16/23,03/16/23,04:05 PM,07:05 PM,FALSE,TRUE,03/16/23,12:05 PM,03:05 PM,FREE,BUSY
